Time(s),Altitude(ft),p,q,r,phi,theta,psi,Vertical Velocity(ft/s)
1.775610175,-567.2397638,0,-9.35E-16,0,0,90,0,-546.1929425
1.780611894,-569.9685756,0,-9.28E-16,0,0,90,0,-545.76236
1.785613613,-572.6952366,0,-9.19E-16,0,0,90,0,-545.3322023
1.790615332,-575.4197489,0,-9.09E-16,0,0,90,0,-544.9024687
1.795617051,-578.1421147,0,-8.98E-16,0,0,90,0,-544.4731584
1.800618769,-580.8623361,0,-8.86E-16,0,0,90,0,-544.0442707
1.805620488,-583.5804151,0,-8.72E-16,0,0,90,0,-543.6158048
1.810622207,-586.2963539,0,-8.57E-16,0,0,90,0,-543.18776
1.815623926,-589.0101546,0,-8.42E-16,0,0,90,0,-542.7601355
1.820625645,-591.7218192,0,-8.25E-16,0,0,90,0,-542.3329306
1.825627363,-594.43135,0,-8.06E-16,0,0,90,0,-541.9061446
1.830629082,-597.1387488,0,-7.87E-16,0,0,90,0,-541.4797767
1.835630801,-599.844018,0,-7.67E-16,0,0,90,0,-541.0538262
