time,altitude,vertical velocity,vertical acceleration,mass,drag cd
11.16049282,1028.10096239,8.6111105,-9.884327,513.26497918,0.6062343
11.21049282,1028.51916666,8.11714267,-9.8744726,513.26497918,0.61177557
11.26049282,1028.91268465,7.62365477,-9.86513047,513.26497918,0.61777918
11.31049282,1029.28153971,7.13062113,-9.85630215,513.26497918,0.62431859
11.36049282,1029.62575391,6.63801602,-9.84798958,513.26497918,0.63148519
11.41049282,1029.94534802,6.14581359,-9.84019522,513.26497918,0.63939447
11.46049282,1030.24034154,5.65398786,-9.83292201,513.26497918,0.64819495
11.51049282,1030.51075265,5.16251269,-9.82617355,513.26497918,0.65808161
11.56049282,1030.75659822,4.67136173,-9.81995416,513.26497918,0.66931675
11.61049282,1030.97789379,4.18050841,-9.81426905,513.26497918,0.68226368
11.66049282,1031.17465357,3.68992585,-9.8091245,513.26497918,0.6974438
11.71049282,1031.34689043,3.19958685,-9.80452819,513.26497918,0.71563934
11.76049282,1031.49461586,2.70946377,-9.80048956,513.26497918,0.73809254
11.81049282,1031.61783994,2.21952843,-9.79702054,513.26497918,0.7669316
11.86049282,1031.71657135,1.72975199,-9.79413662,513.26497918,0.80621256
11.91049282,1031.79081729,1.24010469,-9.79185887,513.26497918,0.86502447
11.96049282,1031.84058345,0.75055551,-9.79021774,513.26497918,0.97036411
12.01049282,1031.86587393,0.26107171,-9.7892444,513.26497918,1.27888559
12.06049282,1031.86669117,-0.22837838,-9.7887806,513.26497918,1.32769395
12.11049282,1031.84303663,-0.71779443,-9.78775019,513.26497918,0.98084652
12.16049282,1031.79491287,-1.20714154,-9.78601644,513.26497918,0.87014379
12.21049282,1031.72232422,-1.69638458,-9.78359183,513.26497918,0.80945035
12.26049282,1031.62527672,-2.18548955,-9.78049436,513.26497918,0.76926439
12.31049282,1031.50377812,-2.67442286,-9.77672348,513.26497918,0.73991586
12.36049282,1031.35783786,-3.1631504,-9.77225694,513.26497918,0.71714911
12.41049282,1031.18746711,-3.65163628,-9.76704443,513.26497918,0.69875047
12.46049282,1030.99267891,-4.13984118,-9.76099818,513.26497918,0.68343561
12.51049282,1030.77348841,-4.62772023,-9.75398045,513.26497918,0.67039939
12.56049282,1030.52991319,-5.11522008,-9.74578721,513.26497918,0.65910705
12.61049282,1030.2619738,-5.6022751,-9.73612714,513.26497918,0.64918714
12.66049282,1029.96969446,-6.08880237,-9.72459504,513.26497918,0.64037225
12.71049282,1029.65310411,-6.57469518,-9.71063861,513.26497918,0.63246422
12.76049282,1029.3122378,-7.05981471,-9.6935182,513.26497918,0.6253127
12.81049282,1028.94713851,-7.54397951,-9.67225991,513.26497918,0.61880131
12.86049282,1028.55785965,-8.02695248,-9.64560261,513.26497918,0.61283854
12.90602002,1028.18242853,-8.46542518,-9.61529115,513.26497918,0.60782461
